name ,var_inter_sigma,var_inter_prob,var_inter_index,var_max,var_min,var_mean,var_sigma,kp_prob,ks_prob,var_prob,var_index,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper
2,3.9614249999999996e-07,0.47950000000000004,2.5,,,,,,,,,3.6785000000000005e-16,7.215e-18,1.226e-16,1.6283200000000004e-07,1.1688e-09,1.87e-08
3,3.9614249999999996e-07,0.47950000000000004,2.5,,,,,,,,,4.26675e-16,1.85525e-17,1.3115e-16,3.2204e-07,1.8534e-08,1.4732000000000002e-07
4,3.9614249999999996e-07,0.47950000000000004,2.5,,,,,,,,,2.5994999999999997e-15,0.0,7.405e-16,1.90144e-06,0.0,4.940000000000001e-07
5,3.9614249999999996e-07,0.47950000000000004,2.5,,,,,,,,,,,,2.8628e-06,0.0,0.0
6,3.9614249999999996e-07,0.47950000000000004,2.5,,,,,,,,,,,,1.31682e-06,0.0,0.0
7,3.9614249999999996e-07,0.47950000000000004,2.5,,,,,,,,,1.574e-15,0.0,0.0,1.8761000000000001e-06,3.038e-08,6.074e-07
0,9.466666666666667e-07,0.10733333333333334,0.0,,,,,,,,,5.46625e-16,6.04825e-17,2.96875e-16,2.2983333333333333e-07,3.801e-08,1.3496e-07
1,9.466666666666667e-07,0.10733333333333334,0.0,,,,,,,,,2.1291000000000002e-16,2.994666666666667e-17,7.986666666666667e-17,1.3931333333333334e-07,1.2536666666666666e-08,3.3433333333333335e-08
2,9.466666666666667e-07,0.10733333333333334,0.0,,,,,,,,,4.0161499999999997e-16,9.792500000000001e-17,2.415e-16,2.9563333333333333e-07,9.107333333333334e-08,1.9526666666666665e-07
3,9.466666666666667e-07,0.10733333333333334,0.0,,,,,,,,,3.90614e-16,9.782600000000001e-17,2.0632000000000002e-16,3.1896666666666663e-07,1.1430666666666666e-07,2.1663333333333335e-07
4,9.466666666666667e-07,0.10733333333333334,0.0,,,,,,,,,2.0506e-15,8.626e-18,1.5527999999999998e-16,1.14716e-06,5.816e-09,2.4168000000000003e-07
5,9.466666666666667e-07,0.10733333333333334,0.0,,,,,,,,,1.1031e-14,2.6456e-16,4.7620000000000005e-15,3.1882000000000002e-06,4.126e-08,7.907999999999999e-07
6,9.466666666666667e-07,0.10733333333333334,0.0,,,,,,,,,1.98318e-15,0.0,0.0,1.10072e-06,0.0,1.2386e-07
